address,lat,lng,matched_address,updated_at
嘉義市彌陀路255號,23.470250,120.464650,嘉義市東區新開里16鄰彌陀路255號,2026-09-13
嘉義市徐州五街90號,23.466190,120.437060,嘉義市西區福民里4鄰徐州五街90號,2026-09-13
嘉義市東區中山路616號,23.479660,120.449800,嘉義市東區中央里16鄰中山路309號,2026-09-13
嘉義市東區五福街119號,23.486690,120.467870,嘉義市東區王田里2鄰五福街119號,2026-09-13
嘉義市東區公義路1號,23.476265,120.463607,嘉義市東區短竹里11鄰公義路1號,2026-09-13
嘉義市東區垂楊路45號,23.474500,120.459660,嘉義市東區新開里12鄰垂楊路45號,2026-09-13
嘉義市東區大雅路2段285巷30號,23.476670,120.476930,嘉義市東區長竹里2鄰大雅路二段285巷30號,2026-09-13
嘉義市東區林森東路235號,23.488750,120.463110,嘉義市東區太平里11鄰林森東路235號,2026-09-13
嘉義市東區體育路2號,23.471280,120.461160,嘉義市東區新開里6鄰體育路2號,2026-09-13
嘉義市林森東路151號,23.487668,120.459504,嘉義市東區太平里18鄰林森東路151號,2026-09-13
嘉義市民權路278號,23.482856,120.451815,嘉義市東區北門里3鄰民權路278號,2026-09-13
嘉義市民權路304號,23.482600,120.451120,嘉義市東區北門里6鄰民權路304號,2026-09-13
嘉義市民生北路12號,23.474271,120.446940,嘉義市西區新富里1鄰民生北路12號,2026-09-13
嘉義市民生南路363號,23.460552,120.444151,嘉義市西區光路里16鄰民生南路363號,2026-09-13
嘉義市永利二街22號,23.473240,120.423490,嘉義市西區港坪里5鄰永利二街22號,2026-09-13
嘉義市永安街363號,23.470070,120.445440,嘉義市西區致遠里17鄰永安街363號,2026-09-13
嘉義市玉康路160號,23.472040,120.428110,嘉義市西區西平里16鄰玉康路160號,2026-09-13
嘉義市盧厝里盧義路39之1號,23.489350,120.484510,嘉義市東區盧厝里2鄰盧義路220號,2026-09-13
嘉義市福州七街65號,23.462200,120.432620,嘉義市西區福民里22鄰福州七街65號,2026-09-13
嘉義市竹文街97巷16號,23.481710,120.440860,嘉義市西區後驛里7鄰竹文街97巷16號,2026-09-13
嘉義市臺林街274號,23.498880,120.455580,嘉義市東區頂庄里9鄰臺林街274號,2026-09-13
嘉義市興業東路316號,23.469870,120.461170,嘉義市東區新開里21鄰興業東路316號,2026-09-13
嘉義市蘭井街465號,23.476640,120.441730,嘉義市西區書院里12鄰蘭井街465號,2026-09-13
嘉義市西區上海路27號,23.463830,120.430240,嘉義市西區車店里16鄰上海路27號,2026-09-13
嘉義市西區保安一路241號,23.492964,120.434966,嘉義市西區保生里10鄰保安一路241號,2026-09-13
嘉義市西區國華街245號,23.479230,120.448340,嘉義市西區文化里14鄰國華街245號,2026-09-13
嘉義市西區垂楊路400號,23.474060,120.449880,嘉義市西區文化里1鄰垂楊路400號,2026-09-13
嘉義市西區安東二街47號,23.493130,120.432430,嘉義市西區保生里13鄰安東二街47號,2026-09-13
嘉義市西區玉康路160號,23.472040,120.428110,嘉義市西區西平里16鄰玉康路160號,2026-09-13
嘉義市西區育人路613號,23.473370,120.406830,嘉義市西區頭港里4鄰育人路613號,2026-09-13
嘉義市西區蘭井街465號,23.476640,120.441730,嘉義市西區書院里12鄰蘭井街465號,2026-09-13
嘉義縣中埔鄉中埔村3鄰中埔11號,23.423416,120.528254,嘉義縣中埔鄉中埔村3鄰中埔11號,2026-09-13
嘉義縣中埔鄉仁義路96號,23.451920,120.470436,嘉義縣中埔鄉和美村7鄰仁義路96號,2026-09-13
嘉義縣中埔鄉同仁村1之10號,23.400340,120.511886,嘉義縣中埔鄉同仁村1鄰同仁1之10號,2026-09-13
嘉義縣中埔鄉和興路91號,23.442910,120.453581,嘉義縣中埔鄉和興村33鄰和興路91號,2026-09-13
嘉義縣中埔鄉金蘭村頂山門6之29號,23.444882,120.499456,嘉義縣中埔鄉金蘭村10鄰頂山門6之29號,2026-09-13
嘉義縣中埔鄉隆興村中正路515號,23.438366,120.527343,嘉義縣中埔鄉隆興村9鄰中正路515號,2026-09-13
嘉義縣大林鎮下潭底24之1號,23.595105,120.459031,嘉義縣大林鎮平林里6鄰下潭底24號之1,2026-09-13
嘉義縣大林鎮中山路55之1號,23.602114,120.455079,嘉義縣大林鎮吉林里2鄰中山路55號之1,2026-09-13
嘉義縣大林鎮中正路423號,23.602446,120.453604,嘉義縣大林鎮西林里12鄰中正路423號,2026-09-13
嘉義縣大林鎮中興路2段241號,23.604027,120.471495,嘉義縣大林鎮三和里12鄰中興路二段241號,2026-09-13
嘉義縣大林鎮平和街21之2號,23.602323,120.456435,嘉義縣大林鎮吉林里8鄰平和街21號之2,2026-09-13
嘉義縣大林鎮明華里下埤頭4鄰25號,23.600953,120.441727,嘉義縣大林鎮明華里4鄰下埤頭25號,2026-09-13
嘉義縣大林鎮民權路18號,23.600089,120.459151,嘉義縣大林鎮平林里32鄰民權路18號,2026-09-13
嘉義縣大林鎮民權路80號,23.599786,120.461605,嘉義縣大林鎮平林里34鄰民權路80號,2026-09-13
嘉義縣大林鎮民生路2號,23.596312,120.457450,嘉義縣大林鎮平林里7鄰民生路2號,2026-09-13
嘉義縣太保市嘉東勢里8鄰東勢寮83之1號,23.464638,120.304026,嘉義縣太保市東勢里8鄰東勢寮83之1號,2026-09-13
嘉義縣太保市太保里2鄰58號,23.458126,120.332396,嘉義縣太保市太保里2鄰太保58號,2026-09-13
嘉義縣太保市太保里66號,23.458916,120.332257,嘉義縣太保市太保里3鄰太保66號,2026-09-13
嘉義縣太保市祥和三路東段105號,23.454351,120.295860,嘉義縣太保市安仁里11鄰祥和三路東段105號,2026-09-13
嘉義縣太保市過溝里八德街692號,23.499258,120.359606,嘉義縣太保市過溝里1鄰八德街692號,2026-09-13
嘉義縣新港鄉公園路28之1號,23.553380,120.345647,嘉義縣新港鄉宮前村20鄰公園路28號之1,2026-09-13
嘉義縣新港鄉月眉村121之9號,23.520523,120.352286,嘉義縣新港鄉月眉村15鄰月眉潭121號之9,2026-09-13
嘉義縣新港鄉登雲路105號,23.555743,120.344974,嘉義縣新港鄉福德村1鄰登雲路105號,2026-09-13
嘉義縣新港鄉福德村21鄰福德路106號,23.558514,120.343813,嘉義縣新港鄉福德村21鄰福德路106號,2026-09-13
嘉義縣新港鄉福德路106號,23.558514,120.343813,嘉義縣新港鄉福德村21鄰福德路106號,2026-09-13
嘉義縣朴子市四維路1段551號,23.458153,120.245963,嘉義縣朴子市竹圍里26鄰四維路一段551號,2026-09-13
嘉義縣朴子市四維路2段78號,23.458746,120.241181,嘉義縣朴子市竹圍里14鄰四維路二段78號,2026-09-13
嘉義縣朴子市大葛里152之300號,23.456652,120.274689,嘉義縣朴子市大葛里22鄰大槺榔152號之300,2026-09-13
嘉義縣朴子市學府路2段92號,23.447679,120.286796,嘉義縣朴子市大葛里30鄰學府路二段92號,2026-09-13
嘉義縣朴子市山通路6號,23.467822,120.250386,嘉義縣朴子市安福里22鄰山通路6號,2026-09-13
嘉義縣朴子市山通路73號,23.464763,120.243980,嘉義縣朴子市文化里15鄰山通路73號,2026-09-13
