tgos_id,key,address,raw,county,source,method,count,courses
1558,嘉義縣朴子市山通路6號,嘉義縣朴子市山通路6號,嘉義縣朴子市山通路6號,嘉義縣,moe-cc-sites,門牌,1,0
1559,嘉義縣朴子市山通路73號,嘉義縣朴子市山通路73號,嘉義縣朴子市山通路73號,嘉義縣,moe-cc-sites,門牌,1,0
1560,嘉義縣朴子市文明路1之9號,嘉義縣朴子市文明路1之9號,嘉義縣朴子市文明路1-9號,嘉義縣,moe-cc-sites,門牌,1,0
1561,嘉義縣朴子市海通路2之46號,嘉義縣朴子市海通路2之46號,嘉義縣朴子市海通路2之46號,嘉義縣,moe-cc-sites,門牌,1,0
1562,嘉義縣朴子市竹圍里四維路2段78號,嘉義縣朴子市竹圍里四維路2段78號,嘉義縣朴子市竹圍里四維路2段78號,嘉義縣,moe-cc-sites,門牌,1,0
1563,嘉義縣朴子市開元里六鄰開元路118號,嘉義縣朴子市開元里六鄰開元路118號,嘉義縣朴子市開元里六鄰開元路118號,嘉義縣,moe-cc-sites,門牌,1,0
1564,嘉義縣梅山鄉梅東村中學路13號,嘉義縣梅山鄉梅東村中學路13號,嘉義縣梅山鄉梅東村中學路13號,嘉義縣,moe-cc-sites,門牌,1,0
1565,嘉義縣梅山鄉民生街1號,嘉義縣梅山鄉民生街1號,嘉義縣梅山鄉民生街1號,嘉義縣,moe-cc-sites,門牌,1,0
1566,嘉義縣民雄鄉北勢仔17號,嘉義縣民雄鄉北勢仔17號,嘉義縣民雄鄉北勢仔17號,嘉義縣,moe-cc-sites,門牌,2,0
1567,嘉義縣民雄鄉北斗村北勢子19號,嘉義縣民雄鄉北斗村北勢子19號,嘉義縣民雄鄉北斗村北勢子19號之4,嘉義縣,moe-cc-sites,門牌,1,0
1568,嘉義縣民雄鄉北斗村正大路1段899號,嘉義縣民雄鄉北斗村正大路1段899號,嘉義縣民雄鄉北斗村正大路一段899號,嘉義縣,moe-cc-sites,門牌,1,0
1569,嘉義縣民雄鄉大學路2段2183號,嘉義縣民雄鄉大學路2段2183號,嘉義縣民雄鄉大學路二段2183號,嘉義縣,moe-cc-sites,門牌,1,0
1570,嘉義縣民雄鄉建國路1段95巷50號,嘉義縣民雄鄉建國路1段95巷50號,嘉義縣民雄鄉建國路一段95巷50號,嘉義縣,moe-cc-sites,門牌,1,0
1571,嘉義縣民雄鄉建國路2段187之24號,嘉義縣民雄鄉建國路2段187之24號,嘉義縣民雄鄉建國路二段187-24號,嘉義縣,moe-cc-sites,門牌,1,0
1572,嘉義縣民雄鄉新生一街1號,嘉義縣民雄鄉新生一街1號,嘉義縣民雄鄉新生一街1號,嘉義縣,moe-cc-sites,門牌,1,0
1573,嘉義縣民雄鄉東勢湖174號,嘉義縣民雄鄉東勢湖174號,嘉義縣民雄鄉東勢湖174號,嘉義縣,moe-senior-centers,門牌,1,0
1574,嘉義縣水上鄉中正路127號,嘉義縣水上鄉中正路127號,嘉義縣水上鄉中正路127號,嘉義縣,moe-cc-sites,門牌,1,0
1575,嘉義縣水上鄉中興路209號,嘉義縣水上鄉中興路209號,嘉義縣水上鄉中興路209號,嘉義縣,moe-cc-sites,門牌,1,0
1576,嘉義縣水上鄉大崙村89之13號,嘉義縣水上鄉大崙村89之13號,嘉義縣水上鄉大崙村89之13號,嘉義縣,moe-cc-sites,門牌,1,0
1577,嘉義縣水上鄉市政街35號,嘉義縣水上鄉市政街35號,嘉義縣水上鄉市政街35號,嘉義縣,moe-cc-sites,門牌,1,0
1578,嘉義縣水上鄉柳林村1701號,嘉義縣水上鄉柳林村1701號,嘉義縣水上鄉柳林村1701號,嘉義縣,moe-cc-sites,門牌,1,0
1579,嘉義縣水上鄉正義路143號,嘉義縣水上鄉正義路143號,嘉義縣水上鄉正義路143號,嘉義縣,moe-senior-centers,門牌,1,0
1580,嘉義縣水上鄉水上村中正路189號,嘉義縣水上鄉水上村中正路189號,嘉義縣水上鄉水上村中正路189號.,嘉義縣,moe-cc-sites,門牌,1,0
1581,嘉義縣水上鄉進學街45號,嘉義縣水上鄉進學街45號,嘉義縣水上鄉進學街45號,嘉義縣,moe-cc-sites,門牌,1,0
1582,嘉義縣溪口鄉柴林村柴林腳13號,嘉義縣溪口鄉柴林村柴林腳13號,嘉義縣溪口鄉柴林村柴林腳13號,嘉義縣,moe-senior-centers,門牌,1,0
1583,嘉義縣番路鄉下坑村菜公店101號,嘉義縣番路鄉下坑村菜公店101號,嘉義縣番路鄉下坑村菜公店101號,嘉義縣,moe-senior-centers,門牌,1,0
1584,嘉義縣竹崎鄉19鄰3號,嘉義縣竹崎鄉19鄰3號,嘉義縣竹崎鄉19 鄰 3 號,嘉義縣,moe-cc-sites,門牌,1,0
1585,嘉義縣竹崎鄉元興路138號,嘉義縣竹崎鄉元興路138號,嘉義縣竹崎鄉元興路138號,嘉義縣,moe-cc-sites,門牌,1,0
1586,嘉義縣竹崎鄉和平村5鄰坑仔坪139之1號,嘉義縣竹崎鄉和平村5鄰坑仔坪139之1號,嘉義縣竹崎鄉和平村5鄰坑仔坪139之1號,嘉義縣,moe-cc-sites,門牌,1,0
1587,臺灣嘉義縣竹崎鄉中正路96號,嘉義縣臺灣嘉義縣竹崎鄉中正路96號,台灣嘉義縣竹崎鄉中正路96號,嘉義縣,moe-cc-sites,門牌,1,0
1588,嘉義縣阿里山鄉山美村3鄰51號,嘉義縣阿里山鄉山美村3鄰51號,嘉義縣阿里山鄉山美村3鄰51號,嘉義縣,moe-senior-centers,門牌,1,0
1589,嘉義縣鹿草鄉松竹村68之2號,嘉義縣鹿草鄉松竹村68之2號,嘉義縣鹿草鄉松竹村68-2號,嘉義縣,moe-senior-centers,門牌,1,0
1590,嘉義縣鹿草鄉豐稠村馬稠後農場61號,嘉義縣鹿草鄉豐稠村馬稠後農場61號,嘉義縣鹿草鄉豐稠村馬稠後農場61號,嘉義縣,moe-cc-sites,門牌,1,0
1591,基隆市七堵區南興路63巷8弄13號,基隆市七堵區南興路63巷8弄13號,基隆市七堵區南興路63巷8弄13號,基隆市,moe-cc-sites,門牌,1,0
1592,基隆市七堵區崇孝街48號,基隆市七堵區崇孝街48號,基隆市七堵區崇孝街48號,基隆市,moe-senior-centers,門牌,1,0
1593,基隆市七堵區永富路78之1號,基隆市七堵區永富路78之1號,基隆市七堵區永富路78之1號,基隆市,moe-cc-sites,門牌,1,0
1594,基隆市七堵區百一街52之1號,基隆市七堵區百一街52之1號,基隆市七堵區百一街52-1號,基隆市,moe-cc-sites,門牌,1,0
1595,基隆市中山區121號,基隆市中山區121號,基隆市中山區121號9樓,基隆市,moe-cc-sites,門牌,1,0
1596,基隆市中山區中和路85巷23號,基隆市中山區中和路85巷23號,基隆市中山區中和路 85巷23號B1,基隆市,moe-cc-sites,門牌,1,0
1597,基隆市中正區北寧路367號,基隆市中正區北寧路367號,基隆市中正區北寧路367號,基隆市,moe-senior-centers,門牌,1,0
1598,基隆市中正區祥豐街66號,基隆市中正區祥豐街66號,基隆市中正區祥豐街66號2樓,基隆市,moe-senior-centers,門牌,1,0
1599,基隆市中正路34號,基隆市中正路34號,基隆市中正路34號4樓407室,基隆市,moe-cc-sites,門牌,1,0
1600,基隆市仁一路265巷16號,基隆市仁一路265巷16號,基隆市仁一路265巷16號2樓,基隆市,moe-cc-sites,門牌,1,0
1601,基隆市仁二路137巷2弄1之3號,基隆市仁二路137巷2弄1之3號,基隆市仁二路137巷2弄1之3號,基隆市,moe-cc-sites,門牌,1,0
1602,基隆市仁二路139號,基隆市仁二路139號,基隆市仁二路139號,基隆市,moe-cc-sites,門牌,1,0
1603,基隆市仁愛區劉銘傳路1號,基隆市仁愛區劉銘傳路1號,基隆市仁愛區劉銘傳路1號3樓,基隆市,moe-senior-centers,門牌,1,0
1604,基隆市仁愛區愛二路9號,基隆市仁愛區愛二路9號,基隆市仁愛區愛二路9號2樓,基隆市,moe-cc-sites,門牌,1,0
1605,基隆市信二路157號,基隆市信二路157號,基隆市信二路157號1樓,基隆市,moe-cc-sites,門牌,1,0
1606,基隆市信二路40號,基隆市信二路40號,基隆市信二路40號,基隆市,moe-cc-sites,門牌,1,0
